"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"256","CWHvh1/Fm54","+","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"257","CWHvh1/Wb51","+","Plc – Crowberry – Peat mosses","",""
"258","CWHvh1/Wb53","+","PlcYc – Tufted clubrush","",""
"259","CWHvh1/Wb53.2","+","PlcYc – Tufted clubrush; Tall shrub variation","",""
"260","CWHvh1/Wb53.3","+","PlcYc – Tufted clubrush; Low shrub variation","",""
"261","CWHvh1/Ws54.1","+","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"262","CWHvh1/Ws54.1","-","CwHw – Azalea – Skunk cabbage","",""
"263","CWHvh1/Ws56","+","SsHw – Skunk cabbage","",""
"264","CWHvh1/Ws56.2","+","SsHw – Skunk cabbage; CwSs variation","",""
"265","CWHvh1/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"266","CWHvh1/Ws58.1","-","CwHw – Slough sedge","",""
"267","CWHvh1/Ws60","+","Ss – Crabapple – Slough sedge","SS","salt spray"
"268","CWHvh1/Ws60","-","Ss – Pacific crabapple – Slough sedge","",""
"269","CWHvh2/120.1","+","Ss – Salal – Beaked mosses; Salal variation","SS","salt spray"
"270","CWHvh2/120.1","-","Ss – Salal – Beaked mosses","SS","salt spray"
"271","CWHvh2/120.2","+","Ss – Salal – Beaked mosses; Reedgrass variation","SS","salt spray"
"272","CWHvh2/120.2","-","Ss – Salal – Beaked mosses","SS","salt spray"
"273","CWHvh2/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"274","CWHvh2/Fm54","+","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"275","CWHvh2/Wb51","+","Plc – Crowberry – Peat mosses","",""
"276","CWHvh2/Wb53","+","PlcYc – Tufted clubrush","",""
"277","CWHvh2/Wb53.2","+","PlcYc – Tufted clubrush; Tall shrub variation","",""
"278","CWHvh2/Wb53.3","+","PlcYc – Tufted clubrush; Low shrub variation","",""
"279","CWHvh2/Wb57","+","PlcYc – Deer cabbage – Peat mosses","",""
"280","CWHvh2/Ws54.1","+","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"281","CWHvh2/Ws54.1","-","CwHw – Azalea – Skunk cabbage","",""
"282","CWHvh2/Ws54.2","+","CwHw – Azalea – Skunk cabbage; Yc variation","",""
"283","CWHvh2/Ws54.2","-","CwHw – Azalea – Skunk cabbage","",""
"284","CWHvh2/Ws55","+","YcHm – Skunk cabbage","",""
"285","CWHvh2/Ws56","+","SsHw – Skunk cabbage","",""
"286","CWHvh2/Ws56.2","+","SsHw – Skunk cabbage; CwSs variation","",""
"287","CWHvh2/Ws56.3","+","SsHw – Skunk cabbage; HwSs variation","",""
"288","CWHvh2/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"289","CWHvh2/Ws58.2","+","CwHw – Slough sedge; Yc variation","",""
"290","CWHvh2/Ws58.2","-","CwHw – Slough sedge","",""
"291","CWHvh2/Ws60","+","Ss – Crabapple – Slough sedge","SS","salt spray"
"292","CWHvh2/Ws60","-","Ss – Pacific crabapple – Slough sedge","",""
"293","CWHvh3/101a","+","CwHw – Salal  – Deer fern; Mineral phase","",""
"294","CWHvh3/101a","-","CwHw – Salal  – Deer fern","",""
"295","CWHvh3/101b","+","CwHw – Salal  – Deer fern; Lithic phase","",""
"296","CWHvh3/101b","-","CwHw – Salal  – Deer fern","",""
"297","CWHvh3/101c","+","CwHw – Salal  – Deer fern; Peaty phase","",""
"298","CWHvh3/101c","-","CwHw – Salal  – Deer fern","",""
"299","CWHvh3/103","+","Ss – Salal","SS","salt spray"
"300","CWHvh3/103","-","Ss – Salal","SS","Salt Spray"
"301","CWHvh3/103.1","+","Ss – Salal; typic variation","SS","salt spray"
"302","CWHvh3/103.1","-","Ss – Salal","SS","Salt Spray"
"303","CWHvh3/103.2","+","Ss – Salal; reedgrass variation","SS","salt spray"
"304","CWHvh3/103.2","-","Ss – Salal","SS","Salt Spray"
"305","CWHvh3/104","+","SsHw – Oregon beaked moss","SS","salt spray"
"306","CWHvh3/104","-","SsHw – Oregon beaked moss","SS","Salt Spray"
"307","CWHvh3/105a","+","HwSs – Lanky moss; Mineral phase","",""
"308","CWHvh3/105a","-","HwSs – Lanky moss","",""
"309","CWHvh3/105b","+","HwSs – Lanky moss; Lithic phase","",""
"310","CWHvh3/105b","-","HwSs – Lanky moss","",""
"311","CWHvh3/106a","+","CwSs – Sword fern; Mineral phase","",""
"312","CWHvh3/106a","-","CwSs – Sword fern","",""
"313","CWHvh3/106b","+","CwSs – Sword fern; Lithic phase","",""
"314","CWHvh3/106b","-","CwSs – Sword fern","",""
"315","CWHvh3/106c","+","CwSs – Sword fern; Limestone phase","",""
"316","CWHvh3/106c","-","CwSs – Sword fern","",""
"317","CWHvh3/110a","+","CwSs – Foamflower; Colluvial/morainal phase","",""
"318","CWHvh3/110a","-","CwSs – Foamflower","",""
"319","CWHvh3/110b","+","CwSs – Foamflower; Alluvial fan phase","Fh","high fluvial bench"
"320","CWHvh3/110b","-","CwSs – Foamflower","Fh","High fluvial bench"
"321","CWHvh3/110c","+","CwSs – Foamflower; Limestone phase","",""
