SS_NoSpace,SiteSeriesLongName
BGxw1/Gg12$2.1,Rough fescue – Bluebunch wheatgrass – Yellow salsify
BGxw1/Gg12$2.2,Spreading needlegrass – Rough fescue – Kentucky bluegrass
BGxw1/Gg12$2.3,Spreading needlegrass – Columbia needlegrass
BGxw1/Gg12$2.5,Kentucky bluegrass – Yarrow
BGxw1/Gg12.1,Rough fescue – Yarrow – Three-flowered avens
BGxw1/Gg25,Sand dropseed – Needle-and-thread grass
BGxw1/Gs03,Big sagebrush – Bluebunch wheatgrass – Screw moss
BGxw1/Gs05,Rocky Mountain juniper – Big sagebrush – Bluebunch wheatgrass
BGxw1/Ro01,Selaginella – Bluebunch wheatgrass – Screw moss
BGxw1/Ro01.1,Selaginella – Bluebunch wheatgrass – Screw moss
BGxw1/Ro01.2,Selaginella – Screw moss
BGxw1/Ro04,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxw1/Ro04.1,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxw1/Ro04.2,Rabbit-brush – Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxw1/Rt01,Rocktripe – Green map
BGxw1/Rt04,Saskatoon – Bluebunch wheatgrass
BGxw1/Rt05,Big sagebrush – Saskatoon – Bluebunch wheatgrass
BGxw1/Wm02,Water horsetail – Beaked sedge
BGxw1/Wm03,Awned sedge
BGxw1/Wm04,Common spikerush
BGxw1/Wm05,Cattail
BGxw1/Wm06,Soft-stemmed bulrush
BGxw1/Wm07,Baltic rush
BGxw1/Wm08,Three-square bulrush
BGxw1/Wm11,Seacoast bulrush
BGxw1/Ws03,Bebb's willow – Bluejoint
BGxw2/101,Bluebunch wheatgrass – Junegrass – Pussytoes
BGxw2/101a,Bluebunch wheatgrass – Junegrass – Pussytoes; Typic phase
BGxw2/101b,Bluebunch wheatgrass – Junegrass – Pussytoes; High Elevation phase
BGxw2/101c,Bluebunch wheatgrass – Junegrass – Pussytoes; Steep Cool phase
BGxw2/110,Fd – Rocky Mountain juniper – Bluebunch wheatgrass
BGxw2/111,Fd – Bluebunch wheatgrass – Step moss
BGxw2/112,Act – Snowberry – Rose
BGxw2/113,Fd – Pinegrass – Feather moss
BGxw2/114,At – Douglas' maple – Western snowberry
BGxw2/115,At – Prairie rose – Western snowberry
BGxw2/Ff01,Water birch – Red-osier dogwood – Rose
BGxw2/Ff01b,Water birch – Red-osier dogwood – Rose; Grassland draw phase
BGxw2/Ff02,Snowberry – Prairie rose
BGxw2/Ga01,Saltgrass
BGxw2/Ga02,Nuttall's alkaligrass – Foxtail barley
BGxw2/Ga03,Field sedge
BGxw2/Gg01,Bluebunch wheatgrass – Prairie sagewort
BGxw2/Gg22,Spreading needlegrass – Northern bedstraw
BGxw2/Gg22$2.1,Kentucky bluegrass – Dandelion
BGxw2/Gg22a,Spreading needlegrass – Northern bedstraw; Depression phase
BGxw2/Gg22b,Spreading needlegrass – Northern bedstraw; Forest Edge phase
BGxw2/Gg24,Short-awned pocupinegrass – Junegrass – Clad lichen
BGxw2/Gg27,Needle-and-thread grass – Prairie sagewort
BGxw2/Gs01,Big sagebrush – Bluebunch wheatgrass
BGxw2/Ro04,Big sagebrush – Selaginella – Bluebunch wheatgrass
BGxw2/Rt04,Saskatoon – Bluebunch wheatgrass
BGxw2/Wm03,Awned sedge
BGxw2/Wm04,Common spikerush
BGxw2/Wm05,Cattail
BGxw2/Wm06,Soft-stemmed bulrush
BGxw2/Wm07,Baltic rush
BGxw2/Wm09,Inflated sedge
BGxw2/Wm12,Woolly sedge
BWBSdk/101,Sw – Soopolallie – Step moss
BWBSdk/101$6B.1,At – Soopolallie – High Bush-cranberry
BWBSdk/101a,Sw – Soopolallie – Step moss; Mesic phase
BWBSdk/101b,Sw – Soopolallie – Step moss; Subhygric phase
BWBSdk/102,Pl – Kinnikinnick – Lingonberry
BWBSdk/102$6B.1,At – Soopolallie – Kinnikinnick
BWBSdk/103,SwPl – Soopolallie – Toad-flax
BWBSdk/103$6B.1,At – Kinnikinnick – Fuzzy-spiked wildrye
BWBSdk/104,Sb – Labrador tea – Step moss
BWBSdk/104a,Sb – Labrador tea – Step moss; Freely drained phase
BWBSdk/104b,Sw – Soopolallie – Step moss; Imperfectly drained phase
BWBSdk/110,Sw – Currant – Horsetail
BWBSdk/110$6B.1,At – Horsetail – Step moss
BWBSdk/111,Sw – Mountain alder – Horsetail
BWBSdk/112,AcbSw – Mountain alder – Dogwood
BWBSdk/Fl01,Mountain alder – Common horsetail
BWBSdk/Fl03,Pacific willow – Red-osier dogwood – Horsetail
BWBSdk/Fm20,Balsam Poplar – Spruce – Mountain alder – Dogwood
BWBSdk/Ga02,Nuttall's alkaligrass – Foxtail barley
BWBSdk/Gg51,Slender wildrye – Prairie wormwood
BWBSdk/Ro51,Juniper – Saskatoon – Kinnikinnick
BWBSdk/Wb03,Sb – Lingonberry – Peat moss
BWBSdk/Wb09,Sb – Horsetail – Peat mosses
BWBSdk/Wb11,Sb – Buckbean – Peat moss
BWBSdk/Wf01,Water sedge – Beaked sedge
BWBSdk/Wf02,Scrub birch – Water sedge
BWBSdk/Wf05,Slender sedge – Common hook moss
BWBSdk/Wf07,Scrub birch – Buckbean – Shore sedge
BWBSdk/Wf08,Shore sedge – Buckbean – Hook moss
BWBSdk/Wf11,Tufted clubrush – Star moss
BWBSdk/Wf14,Tea-leaved willow – Water sedge – Glow moss
BWBSdk/Wm01,Beaked sedge – Water sedge
BWBSdk/Wm02,Water horsetail – Beaked sedge
BWBSdk/Ws05,MacCalla's willow – Beaked sedge
BWBSdk/Ws15,SwSb – Labrador tea – Glow moss
BWBSmk/101,Sw – Lingonberry – Step moss
BWBSmk/101$6B.1,At – Green alder – High bush-cranberry
BWBSmk/101$6B.2,EpAt – Sarsaparilla
BWBSmk/102,Pl – Kinnikinnick – Lingonberry
BWBSmk/102$6B.1,At – Soopolallie – Kinnikinnick
BWBSmk/103,SwPl – Soopolallie – Fuzzy-spiked wildrye
BWBSmk/103$6B.1,At – Rose – Fuzzy-spiked wildrye
BWBSmk/104,Sb – Labrador tea – Step moss
BWBSmk/104$6B.1,At – Labrador tea – Lingonberry
BWBSmk/104a,Sb – Labrador tea – Step moss; Freely drained phase
BWBSmk/104b,Sb – Labrador tea – Step moss; Imperfectly/poorly drained phase
BWBSmk/110,Sw – Currant – Horsetail
BWBSmk/110$6B.1,At – Horsetail – Step moss
BWBSmk/111,Sw – Mountain alder – Horsetail
BWBSmk/112,AcbSw – Mountain alder – Dogwood
BWBSmk/Fl03,Pacific willow – Red-osier dogwood – Horsetail
BWBSmk/Fl05,Drummond's willow – Bluejoint
BWBSmk/Fl06,Sandbar willow
BWBSmk/Fm20,Balsam Poplar – Spruce – Mountain alder – Dogwood
BWBSmk/Gb52,Prickly rose – Fuzzy-spiked wildrye
BWBSmk/Wb03,Sb – Lingonberry – Peat moss
BWBSmk/Wb05,Sb – Water sedge – Peat moss
BWBSmk/Wb06,Lt – Water sedge – Fen moss
BWBSmk/Wb09,Sb – Horsetail – Peat mosses
BWBSmk/Wb12,Scheuchzeria – Peat moss
BWBSmk/Wb14,Leatherleaf – Bog-rosemary – Peat moss
BWBSmk/Wf01,Water sedge – Beaked sedge
BWBSmk/Wf02,Scrub birch – Water sedge
BWBSmk/Wf04,Barclay's willow – Water sedge – Glow moss
BWBSmk/Wf05,Slender sedge – Common hook moss
BWBSmk/Wf08,Shore sedge – Buckbean – Hook moss
BWBSmk/Wf18,Lt – Buckbean – Shore sedge
BWBSmk/Wm01,Beaked sedge – Water sedge
BWBSmk/Wm02,Water horsetail – Beaked sedge
