SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
IDFdk1/105,Pl – Pinegrass – Grouseberry – Kinnikinnick,CA,cold aspects - cold air
IDFdk1/110,SxwFd – Gooseberry – Feather moss,,
IDFdk1/111,Sxw – Dogwood – Horsetail,,
IDFdk1/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFdk1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFdk1/Ws07,Sxw – Horsetail – Leafy moss,,
IDFdk1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
IDFdk1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
IDFdk2/101,FdPl – Pinegrass – Feather moss,,
IDFdk2/102,Fd – Juniper – Kinnikinnick,,
IDFdk2/103,FdPy – Spirea – Bluebunch wheatgrass,IN,insolation
IDFdk2/104,Fd(Pl) – Pinegrass – Kinnikinnick,,
IDFdk2/105,Pl – Pinegrass – Grouseberry – Kinnikinnick,CA,cold aspects - cold air
IDFdk2/110,Sxw(Fd) – Dogwood – Gooseberry,,
IDFdk2/111,Sxw – Dogwood – Horsetail,,
IDFdk2/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFdk2/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFdk2/Ws07,Sxw – Horsetail – Leafy moss,,
IDFdk2/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
IDFdk2/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
IDFdk3/01,FdPl – Pinegrass – Feathermoss,,
IDFdk3/02,Fd – Juniper – Kinnikinnick,IN,insolation
IDFdk3/03,Fd – Juniper – Peltigera,,
IDFdk3/04,Fd – Bluebunch wheatgrass – Needlegrass,IN,insolation
IDFdk3/05,Fd – Feathermoss – Step moss,CAS,cold aspects
IDFdk3/06,Fd – Pinegrass – Aster,IN,insolation
IDFdk3/07,SxwFd – Prickly rose – Sedge,,
IDFdk3/08,SxwFd – Prickly rose – Sarsaparilla,,
IDFdk3/09,Sxw – Horsetail – Glow moss,,
IDFdk4/01,FdPl – Pinegrass – Feathermoss,,
IDFdk4/02,Fd – Juniper – Peltigera,,
IDFdk4/03,Fd – Juniper – Saskatoon,IN,insolation
IDFdk4/04,Fd – Juniper – Pasture sage,IN,insolation
IDFdk4/05,Fd – Bluebunch wheatgrass – Pinegrass,,
IDFdk4/06,Pl – Kinnikinnick – Cladonia,,
IDFdk4/07,Fd – Feathermoss – Step moss,CAS,cold aspects
IDFdk4/08,Sxw – Scrub birch – Feathermoss,CA,cold aspects - cold air
IDFdk4/09,Sxw – Feathermoss – Brachythecium,,
IDFdk4/10,Sxw – Horsetail – Glow moss,,
IDFdk5/101,FdPl – Pinegrass – Feathermoss,,
IDFdk5/102,Fd – Juniper – Pinegrass,,
IDFdk5/103,Fd – Saskatoon – Bluebunch wheatgrass,IN,insolation
IDFdk5/104,Fd – Spirea – Pinegrass – Kinnikinnick,,
IDFdk5/110,Sxw(Fd) – Dogwood – Bunchberry,,
IDFdk5/111,Sxw – Dogwood – Horsetail,CA,cold aspects - cold air
IDFdk5/111a,Sxw – Dogwood – Horsetail; Riparian phase,,
IDFdk5/111b,Sxw – Dogwood – Horsetail; Swamp phase,,
IDFdk5/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFdk5/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFdk5/Fm07,Aspen – Dogwood – Sarsaparilla,Fm,mid fluvial bench
IDFdk5/Ws07,Sxw – Horsetail – Leafy moss,,
IDFdk5/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
IDFdk5/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
IDFdm1/101,Fd(Lw) – Pinegrass – Twinflower,,
IDFdm1/102,PyFd – Bluebunch wheatgrass – Kinnikinnick,,
IDFdm1/103,FdPy – Bluebunch wheatgrass – Pinegrass,IN,insolation
IDFdm1/104,Fd(Lw) – Pinegrass – Kinnikinnick,,
IDFdm1/110,SwxFd – Snowberry – Sarsaparilla,,
IDFdm1/110.1,SwxFd – Snowberry – Sarsaparilla,,
IDFdm1/110.2,CwFd – Douglas maple – Sarsaparilla,,
IDFdm1/111,Sxw(Fd) – Dogwood – Gooseberry,,
IDFdm1/112,Sxw – Dogwood – Horsetail,CA,cold aspects - cold air
IDFdm1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFdm1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFdm2/101,Fd(Lw) – Pinegrass – Twinflower,,
IDFdm2/102,Fd – Rocky Mountain juniper – Kinnikinnick,,
IDFdm2/103,Fd(Py) – Bluebunch wheatgrass – Pinegrass,,
IDFdm2/104,Fd(Lw) – Pinegrass – Kinnikinnick,,
IDFdm2/104.1,Fd(Lw) – Pinegrass – Kinnikinnick,,
IDFdm2/104.2,LwFd(Pl) – Pinegrass,,
IDFdm2/110,FdLwSxw – Pinegrass,,
IDFdm2/111,SxwFd – Snowberry – Sarsaparilla,,
IDFdm2/112,Sxw – Dogwood – Horsetail,,
IDFdm2/112a,Sxw – Dogwood – Horsetail; Riparian,Fh,mid fluvial bench
IDFdm2/112b,Sxw – Dogwood – Horsetail; Swamp phase,,
IDFdm2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFdm2/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFdm2/Fm07,Aspen – Dogwood – Sarsaparilla,Fm,mid fluvial bench
IDFdm2/Ws07,Sxw – Horsetail – Leafy moss,,
IDFdm2/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
IDFdm2/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
IDFdw/101,Fd – Soopolallie – Pinegrass,,
IDFdw/102,Fd – Juniper – Kinnikinnick,,
IDFdw/103,Pli – Soopolallie – Kinnikinnick – Pixie lichens,,
IDFdw/104,Fd – Spirea – Pinegrass,IN,insolation
IDFdw/105,BlFd – Falsebox – Feather moss,CAS,cool aspect
IDFdw/110,Fd – Thimbleberry – Gooseberry,,
IDFdw/111,SxwBl – Twinberry – Gooseberry,FR,frost
IDFdw/112,BlFd – Devil's club – Oak fern,,
IDFdw/113,Sxw – Mountain alder – Horsetail,,
IDFdw/Fm01,Act – Snowberry – Rose,Fm,mid fluvial bench
IDFdw/Fm02,ActSxw – Dogwood,Fm,mid fluvial bench
IDFmw2/01,FdCw – Falsebox – Prince's pine,,
IDFmw2/02,Fd – Snowberry – Bluebunch wheatgrass,,
IDFmw2/03,Fd – Pinegrass – Feathermoss,,
IDFmw2/04,CwSxw – Oak fern,,
IDFww/101,Fd – Falsebox – Orange honeysuckle,,
IDFww/101.1,Fd – Falsebox – Orange honeysuckle; Typic variation,,
IDFww/101.2,Fd – Falsebox – Orange honeysuckle; Cw variation,,
IDFww/102,Fd – Selaginellas – Bluebunch wheatgrass,,
IDFww/103,FdPy – Saskatoon – Screw moss,,
IDFww/104,Fd – Falsebox – Pinegrass,,
IDFww/110,CwFd – Hooker's fairybells,,
IDFww/111,FdSx – Dogwood – Sarsaparilla,CA,cold air
IDFww/112,CwBg – Douglas' maple – Devil's club,Fh,high fluvial bench
IDFxh1/101,Fd(Py) – Spirea – Pinegrass,,
IDFxh1/102,Py(Fd) – Bluebunch wheatgrass – Selaginella,,
IDFxh1/103,FdPy – Pinegrass – Rough fescue,,
IDFxh1/104,FdPy – Bluebunch wheatgrass – Balsamroot,IN,insolation
IDFxh1/105,Fd(Py) – Bluebunch wheatgrass – Pinegrass,,
IDFxh1/106,FdPy – Idaho fescue – Balsamroot,,
IDFxh1/110,Fd(Py) – Snowberry – Oregon-grape,,
IDFxh1/111,SxwFd – Dogwood – Douglas maple,,
IDFxh1/111.1,SxwFd – Dogwood – Douglas maple,,
IDFxh1/111.2,CwFd – Douglas maple – Sarasparilla,,
IDFxh1/112,Sxw – Dogwood – Horsetail,,
IDFxh1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFxh1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFxh2/101,Fd(Py) – Spirea – Pinegrass,,
IDFxh2/102,PyFd – Bluebunch wheatgrass – Selaginella,,
IDFxh2/103,FdPy – Bluebunch wheatgrass – Balsamroot,IN,insolation
IDFxh2/104,FdPy – Rough fescue – Bluebunch wheatgrass,,
IDFxh2/110,Fd – Feather moss – Step moss,CAS,cold aspects
IDFxh2/111,Fd – Snowberry – Oregon-grape,,
IDFxh2/112,SxwFd – Dogwood – Douglas maple,,
IDFxh2/113,Sxw – Dogwood – Horsetail,,
IDFxh2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFxh2/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFxk/101,Fd – Rocky Mountain juniper – Pinegrass,,
IDFxk/102,Fd – Rocky Mountain juniper – Bluebunch wheatgrass,,
IDFxk/102a,Fd – Rocky Mountain juniper – Bluebunch wheatgrass; Xeric phase,,
IDFxk/102b,Fd – Rocky Mountain juniper – Bluebunch wheatgrass; Subxeric phase,,
IDFxk/103,Fd – Rocky Mountain juniper – Kinnikinnick,,
IDFxk/110,Fd – Feathermoss – Step moss,CAS,cold aspects
IDFxk/112,SxwFd – Dogwood – Sarsaparilla,CA,cold aspects - cold air
IDFxk/113,Sxw – Dogwood – Horsetail,CA,cold aspects - cold air
IDFxk/113a,Sxw – Dogwood – Horsetail; Xeric phase,,
IDFxk/113b,Sxw – Dogwood – Horsetail; Subxeric phase,CA,cold aspects - cold air
IDFxk/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFxk/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFxk/Fm07,Aspen – Dogwood – Sarsaparilla,Fm,mid fluvial bench
IDFxm/01,Fd – Pinegrass – Feathermoss,,
IDFxm/01a,Fd – Pinegrass – Feathermoss; Typic,,
IDFxm/01b,Fd – Pinegrass – Feathermoss; Cold,CA,cold aspects - cold air
IDFxm/02,Fd – Bluebunch wheatgrass – Penstemon,,
IDFxm/02a,Fd – Bluebunch wheatgrass – Penstemon; Typic,IN,insolation
IDFxm/02b,Fd – Bluebunch wheatgrass – Penstemon; Shallow,,
IDFxm/03,Fd – Juniper – Cladonia,,
IDFxm/04,Fd – Bluebunch wheatgrass – Pasture sage,IN,insolation
IDFxm/05,Fd – Feathermoss – Step moss,CAS,cold aspects
IDFxm/06,Fd – Ricegrass – Feathermoss,,
IDFxm/07,Fd – Prickly rose – Sarsaparilla,,
IDFxm/08,Sxw – Snowberry – Prickly rose,,
IDFxm/09,Sxw – Horsetail,,
IDFxw/01,Fd – Juniper – Bluebunch wheatgrass,,
IDFxw/02,FdPy – Bluebunch wheatgrass – Pinegrass,,
IDFxw/03,FdPy – Western snowberry – Bluebunch wheatgrass,IN,insolation
IDFxw/04,FdPy – Bluebunch wheatgrass – Balsamroot,IN,insolation
IDFxw/05,Fd – Feathermoss,CAS,cold aspects
IDFxw/06,Sxw – Water birch,,
IDFxw/07,Sxw – Prickly rose – Coltsfoot,,
IDFxx1/101,FdPy – Pinegrass – Bluebunch wheatgrass,,
IDFxx1/102,Py – Mock-orange – Bluebunch wheatgrass,,
IDFxx1/103,Py – Bluebunch wheatgrass – Balsamroot,,
IDFxx1/104,Py – Bluebunch wheatgrass – Rough fescue,,
IDFxx1/110,Fd – Ninebark – Pinegrass,,
IDFxx1/111,Py(Lw) – Snowberry – Kentucky bluegrass,,
IDFxx1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFxx1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFxx2/101,FdPy – Pinegrass – Bluebunch wheatgrass,,
IDFxx2/101.1,FdPy – Pinegrass – Bluebunch wheatgrass,,
IDFxx2/101.2,FdPy – Pinegrass,,
IDFxx2/102,Py – Mock-orange – Bluebunch wheatgrass,,
IDFxx2/103,Py(Fd) – Antelope-brush – Bluebunch wheatgrass,IN,insolation
IDFxx2/104,Py – Bluebunch wheatgrass – Rough fescue,,
IDFxx2/110,Fd – Feathermoss – Step moss,CAS,cold aspects
IDFxx2/111,FdLw – Snowberry – Pinegrass,,
IDFxx2/112,Sxw – Dogwood – Horsetail,,
IDFxx2/112a,Sxw – Dogwood – Horsetail; High bench phase,Fh,high fluvial bench
IDFxx2/112b,Sxw – Dogwood – Horsetail; Swamp phase,CA,
IDFxx2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFxx2/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
IDFxx2/Fm07,Aspen – Dogwood – Sarsaparilla,Fm,mid fluvial bench
MHmm1/101,HmBa – Blueberry – Pipecleaner moss,,
MHmm1/101a,HmBa – Blueberry – Pipecleaner moss; Typic phase,,
MHmm1/101b,HmBa – Blueberry – Pipecleaner moss; Subxeric phase,,
MHmm1/102,YcHm – Mountain-heaths – Clad lichens,,
MHmm1/103,HmYc – Blueberry – Pink mountain-heath,SN,late snow
MHmm1/104,HmYc – Copperbush – Mountain-heather,SN,late snow
MHmm1/110,HmBa – Foamflower,,
MHmm1/111,HmYc – Copperbush – Deer cabbage,,
MHmm1/112,HmBa – Devil's club – Oak fern,,
MHmm1/Wb58,YcHm – Narrow-leaved cotton-grass – Peat mosses,,
MHmm1/Ws55,YcHm – Skunk cabbage,,
MHmm2/101,HmBa – Blueberry – Pipecleaner moss,,
MHmm2/101a,HmBa – Blueberry – Pipecleaner moss; Typic phase,,
MHmm2/101b,HmBa – Blueberry – Pipecleaner moss; Subxeric phase,,
MHmm2/102,HmBl – Pink mountain-heath – Reindeer lichens,,
MHmm2/103,HmBa – Copperbush – Mountain-heather,SN,late snow
MHmm2/110,HmBl – Valerian – Foamflower,,
MHmm2/111,HmBa – Deer cabbage – Peat mosses,,
MHmm2/112,HmBa – Devil's club – Oak fern,,
MHmm2/113,HmBl – Lady fern – Valerian,,
MHmm2/Wb57,PlcYc – Deer cabbage – Peat mosses,,
MHmm2/Ws59,HmBl – Skunk cabbage,,
MHmm2/Ws63,HmBl – Lady fern – Horsetail,,
MHms/101,HmBl – Huckleberry – Blueberry – Oak fern,,
MHms/102,Hm – Huckleberry – Clad lichens,,
MHms/103,HmBl – Huckleberry – Heron's-bill mosses,,
MHms/104,HmBl – Mountain-heather – Leafy liverworts,SN,late snow
MHms/110,HmBl – Lady fern – Valerian,,
MHms/111,HmBl – Devil's club – Lady fern,,
MHms/112,HmBl – Lady fern – Horsetail,,
MHms/Wb57,PlcYc – Deer cabbage – Peat mosses,,
MHms/Ws08,Bl – Valerian – Horsetail,,
MHms/Ws63,HmBl – Lady fern – Horsetail,,
MHvh/101,HmYc – Blueberry – Lanky moss,,
MHvh/101a,HmYc – Blueberry – Lanky moss; Typic phase,,
MHvh/101b,HmYc – Blueberry – Lanky moss; Subxeric phase,,
MHvh/102,YcHm – Crowberry – Lanky moss,,
MHvh/110,HmBaYc – Deer fern – Twistedstalks,,
MHvh/111,HmYc – Copperbush – Deer cabbage,,
MHvh/Wb51,Plc – Crowberry – Peat mosses,,
MHvh/Wb53,PlcYc – Tufted clubrush,,
MHvh/Wb53.2,PlcYc – Tufted clubrush; Tall shrub variation,,
MHvh/Wb53.3,PlcYc – Tufted clubrush; Low shrub variation,,
MHvh/Wb57,PlcYc – Deer cabbage – Peat mosses,,
MHvh/Ws55,YcHm – Skunk cabbage,,
MHwh/101,HmSs – Blueberry,,
MHwh/101a,HmSs – Blueberry; Mesic phase,,
MHwh/101b,HmSs – Blueberry; Drier phase,,
MHwh/101c,HmSs – Blueberry; Moister phase,,
MHwh/102,YcHm – Crowberry – Mountain-heather,,
MHwh/110,HmSs – Reedgrass – Lanky moss,,
MHwh/111,HmSs – Reedgrass – Deer cabbage,,
MHwh/Wb53,PlcYc – Tufted clubrush,,
MHwh/Wb54,Yc – Tufted clubrush – Tufted hairgrass,,
MHwhp/Sk33,Mountain hemlock – Bog blueberry – Crowberry,,
MSdc1/01,Sxw – Wintergreen – Feathermoss,,
MSdc1/02,FdPl – Juniper,,
MSdc1/03,Pl – Spirea – Pinegrass,,
MSdc1/04,Sxw – Gooseberry,,
MSdc2/01,Sxw – Wintergreen – Feathermoss,,
MSdc2/02,FdBl – Spirea – Stonecrop,,
MSdc2/03,FdBl – Soopolallie – Kinnikinnick,IN,insolation
MSdc2/04,PlBl – Soopolallie – Kinnikinnick,,
MSdc2/05,Sxw – Rhododendron – Crowberry,FR,frost
MSdc2/06,Sxw – Twinberry – Reedgrass,,
MSdc2/07,Sxw – Gooseberry,,
MSdc2/08,Sxw – Horsetail – Leafy moss,,
MSdk/101,SxwFd – Bunchberry – Feathermoss,,
MSdk/102,Fd – Juniper – Douglas maple,,
MSdk/103,FdPl – Juniper – Pinegrass,IN,insolation
MSdk/104,SxwPl – Labrador tea – Feathermoss,CA,cold aspects - cold air
MSdk/105,FdPl – Pinegrass – Twinflower,,
MSdk/110,SxwBl – Azalea – Bunchberry,,
MSdk/110.1,SxwBl – Azalea – Bunchberry,,
MSdk/110.2,CwSxw – Bunchberry – Mitreworts,,
MSdk/111,SxwBl – Horsetail,,
MSdk/111a,SxwBl – Horsetail; Riparian phase,Fh,high fluvial bench
MSdk/111b,SxwBl – Horsetail; Swamp phase,,
MSdk/112,Sxw – Labrador tea – Peat moss,,
MSdk/112a,Sxw – Labrador tea – Peat moss; Riparian phase,Fh,high fluvial bench
MSdk/112b,Sxw – Labrador tea – Peat moss; Bog phase,,
MSdk/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
MSdk/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
MSdk/Wb15,Sxw – Labrador tea – Peat moss,,
MSdk/Ws07,Sxw – Horsetail – Leafy moss,,
MSdk/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSdk/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSdm1/101,Sxw – Falsebox – Feather moss,,
MSdm1/102,Fd – Douglas maple – Pentsemon,,
MSdm1/103,Fd(Lw) – Pinegrass – Kinnikinnick,,
MSdm1/103a,Fd(Lw) – Pinegrass – Kinnikinnick; Subxeric phase,,
MSdm1/103b,Fd(Lw) – Pinegrass – Kinnikinnick; Submesic phase,,
MSdm1/104,Pl(Lw) – Pinegrass – Grouseberry,,
MSdm1/110,SxwBl – Trapper's tea – Grouseberry,,
MSdm1/111,SxwBl – Gooseberry,,
MSdm1/111.1,SxwBl – Gooseberry,,
MSdm1/111.2,SxwBl(Cw) – Thimbleberry,,
MSdm1/112,SxwBl – Gooseberry – Oak fern,,
MSdm1/113,Sxw(Bl) – Horsetail,,
MSdm1/113a,Sxw(Bl) – Horsetail; Riparian phase,Fh,high fluvial bench
MSdm1/113b,Sxw(Bl) – Horsetail; Swamp phase,,
MSdm1/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
MSdm1/Wb16,Sxw – Trapper's tea – Peat moss,,
MSdm1/Ws07,Sxw – Horsetail – Leafy moss,,
MSdm1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSdm1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSdm2/101,Sxw – Falsebox – Feather moss,,
MSdm2/102,FdPl – Juniper – Kinnikinnick,,
MSdm2/103,FdPl – Falsebox – Pinegrass,IN,insolation
MSdm2/104,Pl – Pinegrass – Grouseberry,,
MSdm2/105,PlSxw – Trapper's tea – Grouseberry,CA,cold aspects - cold air
MSdm2/110,SxwBl – Trapper's tea – Bramble,CA,cold aspects - cold air
MSdm2/111,SxwBl – Gooseberry,,
MSdm2/112,Sxw – Devil's club,,
MSdm2/113,SxwBl – Horsetail,,
MSdm2/Wb16,Sxw – Trapper's tea – Peat moss,,
MSdm2/Ws07,Sxw – Horsetail – Leafy moss,,
MSdm2/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSdm2/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSdm3/01,Sxw – Falsebox – Feathermoss,,
MSdm3/03,Pl – Juniper – Grouseberry,,
MSdm3/04,Pl – Grouseberry – Pinegrass,,
MSdm3/05,Sxw – Gooseberry – Grouseberry,,
MSdm3/06,Sxw – Gooseberry – Devil's club,,
MSdm3/07,Sxw – Horsetail – Leafy moss,,
MSdv/01,Pl – Soopolallie – Twinflower,,
MSdv/02,Pl – Penstemon – Balsamroot,,
MSdv/02a,Pl – Penstemon – Balsamroot; Shallow,,
MSdv/02b,Pl – Penstemon – Balsamroot; South slope,IN,insolation
MSdv/03,Pl – Short-awned ricegrass – Peltigera,CA,cold aspects - cold air
MSdv/04,Pl – Saskatoon – Kinnikinnick,,
MSdv/05,Pl – Soopolallie – Heron's-bill,,
MSdv/06,Sxw – Twinberry – Reedgrass,,
MSdv/07,Sxw – Dwarf blueberry – Crowberry,FR,frost
MSdv/08,Sxw – Soopolallie – Scouring-rush,,
MSdv/09,Sxw – Horsetail – Leafy moss,,
MSdw/101,Sxw – Arnica – Pinegrass,,
MSdw/102,Fd – Juniper,,
MSdw/103,Fd(LwPl) – Pinegrass,IN,insolation
MSdw/104,Pl(Lw) – Pinegrass – Twinflower,,
MSdw/104.1,Pl(Lw) – Pinegrass – Twinflower,,
MSdw/104.2,Pl(Lw) – Pinegrass – Grouseberry,,
MSdw/110,SxwBl – Azalea – Bunchberry,,
MSdw/110.1,SxwBl – Azalea – Bunchberry,,
MSdw/110.2,CwSxw – Bunchberry – Mitreworts,,
MSdw/111,Sxw – Horsetail,,
MSdw/111a,Sxw – Horsetail; Riparian phase,Fh,high fluvial bench
MSdw/111b,Sxw – Horsetail; Swamp phase,,
MSdw/112,Sxw – Trapper's tea – Peat moss,CA,cold aspects - cold air
MSdw/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
MSdw/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
MSdw/Wb15,Sxw – Labrador tea – Peat moss,,
MSdw/Wb16,Sxw – Trapper’s tea – Peat moss,,
MSdw/Ws07,Sxw – Horsetail – Leafy moss,,
MSdw/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSdw/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSxk1/101,Pl – Pinegrass – Grouseberry – Feather moss,,
MSxk1/101a,Pl – Pinegrass – Grouseberry – Feather moss; Typic phase,,
MSxk1/101b,Pl – Pinegrass – Grouseberry – Feather moss; Warm phase,,
MSxk1/102,Pl – Grouseberry – Clad lichens,,
MSxk1/103,Pl – Grouseberry – Kinnikinnick – Clad lichens,,
MSxk1/104,Pl – Grouseberry – Feather moss,,
MSxk1/105,PlSxw – Trapper's tea – Grouseberry,,
MSxk1/110,Sxw – Trapper's tea – Bunchberry – Glow moss,,
MSxk1/111,SxwBl – Gooseberry,,
MSxk1/112,Sxw – Horsetail – Soft-leaved sedge,,
MSxk1/113,Sxw – Rocky Mountain sedge – Leafy mosses,,
MSxk1/Wb16,Sxw – Trapper's tea – Peat moss,,
MSxk1/Ws07,Sxw – Horsetail – Leafy moss,,
MSxk1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSxk1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSxk1/Ws12,Sxw – Rocky Mountain sedge – Glow moss,,
MSxk2/101,Pl – Pinegrass – Grouseberry – Feather moss,,
MSxk2/102,Pl – Grouseberry – Clad lichens,,
MSxk2/103,Pl – Grouseberry – Kinnikinnick – Clad lichens,,
MSxk2/104,FdPl – Pinegrass – Twinflower,IN,insolation
MSxk2/105,Pl – Juniper – Grouseberry – Feather moss,,
MSxk2/106,PlSxw – Trapper's tea – Grouseberry,,
MSxk2/110,Sxw – Trapper's tea – Bunchberry – Glow moss,CA,cold aspects - cold air
MSxk2/111,SxwBl – Gooseberry,,
MSxk2/112,Sxw – Horsetail – Soft-leaved sedge,,
MSxk2/Wb16,Sxw – Trapper's tea – Peat moss,,
MSxk2/Ws07,Sxw – Horsetail – Leafy moss,,
MSxk2/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
MSxk2/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
MSxk3/01,Pl – Pinegrass – Lupine,,
MSxk3/02,Fd – Juniper – Grouseberry,,
MSxk3/05,FdPl – Pinegrass – Arnica,,
MSxk3/06,Pl – Falsebox – Lupine,,
MSxk3/07,Sxw – Trapper's tea – Grouseberry,,
MSxk3/08,Sxw – Gooseberry – Grouseberry,,
MSxk3/09,Sxw – Horsetail – Leafy moss,,
MSxk3/10,Pl – Water sedge – Peat moss,,
MSxv/01,Pl – Grouseberry – Feathermoss,,
MSxv/02,Pl – Fescue – Stereocaulon,,
MSxv/03,Pl – Kinnikinnick – Cladonia,,
MSxv/03a,Pl – Kinnikinnick – Cladonia; Typic,,
MSxv/03b,Pl – Kinnikinnick – Cladonia; Shallow,IN,insolation
MSxv/04,Pl – Grouseberry – Kinnikinnick,,
MSxv/05,Pl – Trapper's tea – Crowberry,,
MSxv/06,Sxw – Crowberry – Knight's plume,,
MSxv/07,Sxw – Crowberry – Glow moss,CA,cold aspects - cold air
MSxv/08,Sxw – Horsetail – Crowberry,,
MSxv/09,Sxw – Labrador tea – Willow,CA,cold aspects - cold air
MSxv/10,Sb – Soft-leaved sedge – Peat moss,,
PPxh1/101,Py(Fd) – Bluebunch wheatgrass – Rough fescue,,
PPxh1/102,Py(Fd) – Bluebunch wheatgrass – Selaginella,,
PPxh1/103,Py – Antelope-brush – Bluebunch wheatgrass,,
PPxh1/104,Py – Bluebunch wheatgrass – Balsamroot,,
PPxh1/110,FdPy – Pinegrass,CAS,cold aspects
PPxh1/111,Fd(Py) – Snowberry – Oregon-grape,,
PPxh1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
PPxh1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
PPxh1/Fm06,Cottonwood – Poison ivy – Rose,Fm,mid fluvial bench
PPxh2/101,Py(Fd) – Bluebunch wheatgrass – Rough fescue,,
PPxh2/102,Py(Fd) – Bluebunch wheatgrass – Selaginella,,
PPxh2/103,Py – Rabbit-brush – Bluebunch wheatgrass,,
PPxh2/110,Fd – Feather moss – Step moss,CAS,cold aspects
PPxh2/110.1,Fd – Feather moss – Step moss,CAS,cold aspects
PPxh2/110.2,Fd – Rough fescue – Bluebunch wheatgrass,CAS,cold aspects
PPxh2/111,Fd – Douglas maple – Saskatoon,,
PPxh2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
PPxh2/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
SBPSdc/01,Pl – Juniper – Feathermoss,,
SBPSdc/02,Pl – Kinnikinnick – Cladonia,,
SBPSdc/02a,Pl – Kinnikinnick – Cladonia; Typic,IN,insolation
SBPSdc/02b,Pl – Kinnikinnick – Cladonia; Shallow,,
SBPSdc/03,Pl – Kinnikinnick – Feathermoss,,
SBPSdc/03a,Pl – Kinnikinnick – Feathermoss; Typic,,
SBPSdc/03b,Pl – Kinnikinnick – Feathermoss; Sand,,
SBPSdc/04,PlSb – Feathermoss,FR,frost
SBPSdc/05,Sxw – Scrub birch – Feathermoss,FR,frost
SBPSdc/06,Sxw – Horsetail – Meadowrue,,
