"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"151","ICHvc","ICHvc/06","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"152","ICHvc","ICHvc/01","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"153","ICHvc","ICHvc/01.1","Ep",2,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"154","ICHvc","ICHvc/01.2","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"155","ICHvc","ICHvc/02","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"156","ICHvc","ICHvc/02.1","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"157","ICHvc","ICHvc/02.2","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"158","ICHvc","ICHvc/03","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"159","ICHvc","ICHvc/03a","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"160","ICHvc","ICHvc/03b","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"161","ICHvc","ICHvc/04","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"162","ICHvc","ICHvc/06","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"163","ICHwc","ICHwc/01","Act",3,"Ac",NA,NA,FALSE,"ICH",NA,"SKE"
"164","ICHwc","ICHwc/04","Act",3,"Ac",NA,NA,FALSE,"ICH",NA,"SKE"
"165","ICHwc","ICHwc/05","Act",3,"Ac",NA,NA,FALSE,"ICH",NA,"SKE"
"166","ICHwc","ICHwc/06","Act",1,"Ac",NA,NA,FALSE,"ICH",NA,"SKE"
"167","ICHwc","ICHwc/08","Act",3,"Ac",NA,NA,FALSE,"ICH",NA,"SKE"
"168","ICHwc","ICHwc/01","At",2,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"169","ICHwc","ICHwc/02","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"170","ICHwc","ICHwc/03","At",2,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"171","ICHwc","ICHwc/04","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"172","ICHwc","ICHwc/05","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"173","ICHwc","ICHwc/06","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"174","ICHwc","ICHwc/08","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"175","ICHwc","ICHwc/01","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"176","ICHwc","ICHwc/02","Bl",3,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"177","ICHwc","ICHwc/03","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"178","ICHwc","ICHwc/04","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"179","ICHwc","ICHwc/05","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"180","ICHwc","ICHwc/06","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"181","ICHwc","ICHwc/07","Bl",2,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"182","ICHwc","ICHwc/08","Bl",1,"Bl",NA,NA,FALSE,"ICH",NA,"SKE"
"183","ICHwc","ICHwc/01","Ep",2,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"184","ICHwc","ICHwc/03","Ep",2,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"185","ICHwc","ICHwc/04","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"186","ICHwc","ICHwc/05","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
